image,residual,count
MR,-255,21
MR,-253,4
MR,-250,2
MR,-246,1
MR,-243,2
MR,-241,1
MR,-240,2
MR,-239,4
MR,-238,4
MR,-237,3
MR,-235,2
MR,-234,1
MR,-233,2
MR,-232,1
MR,-231,1
MR,-230,1
MR,-229,2
MR,-228,1
MR,-227,2
MR,-226,1
MR,-224,3
MR,-223,1
MR,-221,1
MR,-220,1
MR,-219,2
MR,-218,2
MR,-216,1
MR,-215,3
MR,-214,1
MR,-213,2
MR,-212,2
MR,-211,2
MR,-210,3
MR,-209,2
MR,-208,2
MR,-207,7
MR,-206,1
MR,-205,1
MR,-204,1
MR,-202,2
MR,-201,3
MR,-200,3
MR,-199,1
MR,-198,2
MR,-197,4
MR,-196,2
MR,-195,3
MR,-194,1
MR,-193,3
MR,-192,3
MR,-191,2
MR,-190,5
MR,-189,2
MR,-188,1
MR,-187,2
MR,-186,1
MR,-185,5
MR,-184,2
MR,-183,3
MR,-182,3
MR,-181,1
MR,-180,5
MR,-179,3
MR,-178,2
MR,-177,4
MR,-176,2
MR,-175,4
MR,-174,6
MR,-173,3
MR,-172,3
MR,-171,5
MR,-170,9
MR,-169,8
MR,-168,7
MR,-167,4
MR,-166,5
MR,-165,8
MR,-164,9
MR,-163,9
MR,-162,4
MR,-161,8
MR,-160,7
MR,-159,7
MR,-158,4
MR,-157,10
MR,-156,5
MR,-155,3
MR,-154,4
MR,-153,6
MR,-152,7
MR,-151,10
MR,-150,14
MR,-149,3
MR,-148,6
MR,-147,9
MR,-146,11
MR,-145,13
MR,-144,8
MR,-143,7
MR,-142,8
MR,-141,18
MR,-140,14
MR,-139,4
MR,-138,8
MR,-137,12
MR,-136,21
MR,-135,14
MR,-134,10
MR,-133,9
MR,-132,10
MR,-131,14
MR,-130,9
MR,-129,10
MR,-128,16
MR,-127,12
MR,-126,17
MR,-125,11
MR,-124,8
MR,-123,15
MR,-122,14
MR,-121,20
MR,-120,14
MR,-119,15
MR,-118,14
MR,-117,16
MR,-116,21
MR,-115,11
MR,-114,13
MR,-113,23
MR,-112,15
MR,-111,19
MR,-110,14
MR,-109,23
MR,-108,24
MR,-107,14
MR,-106,26
MR,-105,19
MR,-104,16
MR,-103,19
MR,-102,20
MR,-101,15
MR,-100,23
MR,-99,20
MR,-98,28
MR,-97,26
MR,-96,21
MR,-95,39
MR,-94,24
MR,-93,21
MR,-92,32
MR,-91,31
MR,-90,29
MR,-89,24
MR,-88,35
MR,-87,30
MR,-86,29
MR,-85,31
MR,-84,30
MR,-83,25
MR,-82,40
MR,-81,29
MR,-80,24
MR,-79,42
MR,-78,32
MR,-77,34
MR,-76,38
MR,-75,42
MR,-74,44
MR,-73,47
MR,-72,41
MR,-71,50
MR,-70,46
MR,-69,41
MR,-68,49
MR,-67,48
MR,-66,64
MR,-65,46
MR,-64,71
MR,-63,71
MR,-62,63
MR,-61,51
MR,-60,70
MR,-59,47
MR,-58,70
MR,-57,62
MR,-56,81
MR,-55,80
MR,-54,76
MR,-53,72
MR,-52,84
MR,-51,79
MR,-50,84
MR,-49,84
MR,-48,82
MR,-47,93
MR,-46,116
MR,-45,118
MR,-44,137
MR,-43,123
MR,-42,116
MR,-41,119
MR,-40,146
MR,-39,148
MR,-38,140
MR,-37,118
MR,-36,168
MR,-35,168
MR,-34,208
MR,-33,185
MR,-32,166
MR,-31,203
MR,-30,223
MR,-29,218
MR,-28,233
MR,-27,260
MR,-26,289
MR,-25,272
MR,-24,305
MR,-23,329
MR,-22,358
MR,-21,338
MR,-20,397
MR,-19,486
MR,-18,476
MR,-17,546
MR,-16,585
MR,-15,626
MR,-14,753
MR,-13,749
MR,-12,893
MR,-11,975
MR,-10,1121
MR,-9,1291
MR,-8,1425
MR,-7,1537
MR,-6,1671
MR,-5,1719
MR,-4,1843
MR,-3,1938
MR,-2,1991
MR,-1,2088
MR,0,2060
MR,1,1951
MR,2,1911
MR,3,1802
MR,4,1874
MR,5,1656
MR,6,1551
MR,7,1409
MR,8,1375
MR,9,1201
MR,10,1084
MR,11,971
MR,12,860
MR,13,790
MR,14,763
MR,15,706
MR,16,608
MR,17,581
MR,18,547
MR,19,480
MR,20,446
MR,21,400
MR,22,375
MR,23,392
MR,24,312
MR,25,327
MR,26,293
MR,27,264
MR,28,264
MR,29,209
MR,30,221
MR,31,238
MR,32,214
MR,33,174
MR,34,178
MR,35,176
MR,36,154
MR,37,158
MR,38,148
MR,39,119
MR,40,116
MR,41,145
MR,42,150
MR,43,116
MR,44,114
MR,45,96
MR,46,95
MR,47,127
MR,48,90
MR,49,91
MR,50,89
MR,51,89
MR,52,84
MR,53,76
MR,54,81
MR,55,73
MR,56,66
MR,57,69
MR,58,68
MR,59,53
MR,60,66
MR,61,59
MR,62,50
MR,63,39
MR,64,46
MR,65,63
MR,66,44
MR,67,44
MR,68,53
MR,69,40
MR,70,43
MR,71,51
MR,72,33
MR,73,50
MR,74,38
MR,75,53
MR,76,36
MR,77,24
MR,78,43
MR,79,35
MR,80,23
MR,81,35
MR,82,39
MR,83,27
MR,84,26
MR,85,29
MR,86,23
MR,87,17
MR,88,36
MR,89,27
MR,90,24
MR,91,24
MR,92,18
MR,93,27
MR,94,28
MR,95,18
MR,96,16
MR,97,21
MR,98,24
MR,99,16
MR,100,18
MR,101,18
MR,102,18
MR,103,24
MR,104,20
MR,105,24
MR,106,14
MR,107,13
MR,108,19
MR,109,21
MR,110,16
MR,111,15
MR,112,16
MR,113,23
MR,114,13
MR,115,9
MR,116,16
MR,117,15
MR,118,7
MR,119,18
MR,120,10
MR,121,21
MR,122,13
MR,123,10
MR,124,12
MR,125,15
MR,126,10
MR,127,11
MR,128,9
MR,129,5
MR,130,13
MR,131,9
MR,132,16
MR,133,12
MR,134,5
MR,135,7
MR,136,6
MR,137,11
MR,138,8
MR,139,9
MR,140,9
MR,141,10
MR,142,10
MR,143,15
MR,144,12
MR,145,3
MR,146,11
MR,147,8
MR,148,5
MR,149,6
MR,150,11
MR,151,6
MR,152,13
MR,153,6
MR,154,8
MR,155,4
MR,156,6
MR,157,7
MR,158,5
MR,159,8
MR,160,8
MR,161,3
MR,162,10
MR,163,5
MR,164,2
MR,165,7
MR,166,11
MR,167,3
MR,168,5
MR,169,2
MR,170,11
MR,171,3
MR,172,10
MR,173,2
MR,174,6
MR,175,10
MR,176,4
MR,178,4
MR,179,3
MR,180,3
MR,181,6
MR,182,6
MR,183,9
MR,184,5
MR,185,7
MR,186,7
MR,187,3
MR,188,3
MR,189,3
MR,190,4
MR,191,5
MR,192,5
MR,193,1
MR,194,3
MR,195,4
MR,196,2
MR,197,3
MR,198,5
MR,199,3
MR,200,2
MR,201,2
MR,202,4
MR,203,2
MR,204,5
MR,205,4
MR,206,2
MR,207,3
MR,208,2
MR,209,5
MR,210,4
MR,211,3
MR,212,2
MR,213,4
MR,214,4
MR,215,2
MR,216,2
MR,217,4
MR,218,3
MR,219,2
MR,220,2
MR,221,1
MR,222,1
MR,223,1
MR,224,2
MR,226,2
MR,227,4
MR,228,3
MR,230,3
MR,231,4
MR,233,1
MR,235,1
MR,236,1
MR,237,2
MR,238,1
MR,239,1
MR,241,2
MR,242,1
MR,244,2
MR,246,3
MR,247,1
MR,248,2
MR,249,1
MR,250,2
MR,251,3
MR,252,4
MR,253,3
MR,254,2
MR,255,67
CT,-255,5104
CT,-254,8
CT,-253,5
CT,-252,7
CT,-251,10
CT,-250,11
CT,-249,14
CT,-248,2
CT,-247,11
CT,-246,7
CT,-245,11
CT,-244,9
CT,-243,5
CT,-242,9
CT,-241,5
CT,-240,7
CT,-239,6
CT,-238,6
CT,-237,7
CT,-236,10
CT,-235,6
CT,-234,11
CT,-233,11
CT,-232,6
CT,-231,16
CT,-230,11
CT,-229,8
CT,-228,9
CT,-227,8
CT,-226,10
CT,-225,4
CT,-224,5
CT,-223,8
CT,-222,6
CT,-221,10
CT,-220,5
CT,-219,9
CT,-218,12
CT,-217,11
CT,-216,10
CT,-215,11
CT,-214,5
CT,-213,11
CT,-212,10
CT,-211,6
CT,-210,16
CT,-209,10
CT,-208,12
CT,-207,11
CT,-206,5
CT,-205,7
CT,-204,15
CT,-203,4
CT,-202,14
CT,-201,10
CT,-200,10
CT,-199,10
CT,-198,10
CT,-197,14
CT,-196,11
CT,-195,12
CT,-194,14
CT,-193,12
CT,-192,4
CT,-191,12
CT,-190,13
CT,-189,8
CT,-188,10
CT,-187,10
CT,-186,9
CT,-185,10
CT,-184,7
CT,-183,12
CT,-182,15
CT,-181,18
CT,-180,17
CT,-179,11
CT,-178,7
CT,-177,8
CT,-176,10
CT,-175,7
CT,-174,12
CT,-173,10
CT,-172,12
CT,-171,11
CT,-170,7
CT,-169,13
CT,-168,18
CT,-167,9
CT,-166,9
CT,-165,15
CT,-164,13
CT,-163,16
CT,-162,10
CT,-161,22
CT,-160,15
CT,-159,10
CT,-158,16
CT,-157,13
CT,-156,11
CT,-155,20
CT,-154,17
CT,-153,11
CT,-152,17
CT,-151,14
CT,-150,10
CT,-149,9
CT,-148,11
CT,-147,17
CT,-146,16
CT,-145,21
CT,-144,24
CT,-143,21
CT,-142,22
CT,-141,17
CT,-140,25
CT,-139,24
CT,-138,30
CT,-137,27
CT,-136,19
CT,-135,20
CT,-134,25
CT,-133,16
CT,-132,28
CT,-131,28
CT,-130,16
CT,-129,28
CT,-128,27
CT,-127,28
CT,-126,30
CT,-125,24
CT,-124,31
CT,-123,24
CT,-122,28
CT,-121,20
CT,-120,35
CT,-119,23
CT,-118,30
CT,-117,19
CT,-116,34
CT,-115,30
CT,-114,32
CT,-113,42
CT,-112,31
CT,-111,39
CT,-110,30
CT,-109,25
CT,-108,20
CT,-107,38
CT,-106,34
CT,-105,24
CT,-104,31
CT,-103,38
CT,-102,32
CT,-101,35
CT,-100,46
CT,-99,28
CT,-98,31
CT,-97,39
CT,-96,47
CT,-95,34
CT,-94,51
CT,-93,45
CT,-92,49
CT,-91,45
CT,-90,49
CT,-89,53
CT,-88,44
CT,-87,47
CT,-86,34
CT,-85,70
CT,-84,56
CT,-83,58
CT,-82,64
CT,-81,80
CT,-80,65
CT,-79,76
CT,-78,75
CT,-77,82
CT,-76,71
CT,-75,87
CT,-74,80
CT,-73,82
CT,-72,79
CT,-71,85
CT,-70,86
CT,-69,87
CT,-68,102
CT,-67,120
CT,-66,135
CT,-65,144
CT,-64,118
CT,-63,114
CT,-62,128
CT,-61,150
CT,-60,146
CT,-59,141
CT,-58,145
CT,-57,170
CT,-56,197
CT,-55,176
CT,-54,198
CT,-53,193
CT,-52,205
CT,-51,225
CT,-50,263
CT,-49,220
CT,-48,290
CT,-47,279
CT,-46,315
CT,-45,302
CT,-44,343
CT,-43,345
CT,-42,391
CT,-41,363
CT,-40,393
CT,-39,428
CT,-38,464
CT,-37,496
CT,-36,535
CT,-35,542
CT,-34,628
CT,-33,639
CT,-32,700
CT,-31,742
CT,-30,803
CT,-29,822
CT,-28,985
CT,-27,1004
CT,-26,1064
CT,-25,1160
CT,-24,1230
CT,-23,1402
CT,-22,1415
CT,-21,1592
CT,-20,1764
CT,-19,1848
CT,-18,2074
CT,-17,2159
CT,-16,2341
CT,-15,2582
CT,-14,2719
CT,-13,2999
CT,-12,3220
CT,-11,3655
CT,-10,3964
CT,-9,4341
CT,-8,4888
CT,-7,5524
CT,-6,6072
CT,-5,6769
CT,-4,7496
CT,-3,8081
CT,-2,8710
CT,-1,8986
CT,0,13981
CT,1,9153
CT,2,9016
CT,3,8285
CT,4,7870
CT,5,7196
CT,6,6543
CT,7,5845
CT,8,5191
CT,9,4643
CT,10,4239
CT,11,3836
CT,12,3491
CT,13,3171
CT,14,2885
CT,15,2694
CT,16,2396
CT,17,2275
CT,18,2023
CT,19,1966
CT,20,1840
CT,21,1584
CT,22,1495
CT,23,1372
CT,24,1286
CT,25,1173
CT,26,1089
CT,27,1001
CT,28,936
CT,29,849
CT,30,775
CT,31,707
CT,32,667
CT,33,602
CT,34,571
CT,35,540
CT,36,484
CT,37,485
CT,38,437
CT,39,410
CT,40,360
CT,41,346
CT,42,334
CT,43,290
CT,44,268
CT,45,259
CT,46,223
CT,47,237
CT,48,197
CT,49,208
CT,50,155
CT,51,172
CT,52,190
CT,53,143
CT,54,139
CT,55,152
CT,56,146
CT,57,137
CT,58,119
CT,59,113
CT,60,118
CT,61,121
CT,62,128
CT,63,117
CT,64,107
CT,65,102
CT,66,121
CT,67,118
CT,68,92
CT,69,85
CT,70,90
CT,71,83
CT,72,75
CT,73,69
CT,74,96
CT,75,80
CT,76,81
CT,77,72
CT,78,67
CT,79,56
CT,80,69
CT,81,66
CT,82,62
CT,83,56
CT,84,76
CT,85,65
CT,86,71
CT,87,70
CT,88,59
CT,89,47
CT,90,66
CT,91,51
CT,92,51
CT,93,57
CT,94,40
CT,95,65
CT,96,48
CT,97,58
CT,98,45
CT,99,43
CT,100,47
CT,101,43
CT,102,39
CT,103,30
CT,104,37
CT,105,43
CT,106,39
CT,107,46
CT,108,33
CT,109,36
CT,110,31
CT,111,40
CT,112,36
CT,113,30
CT,114,29
CT,115,31
CT,116,28
CT,117,27
CT,118,33
CT,119,29
CT,120,32
CT,121,32
CT,122,22
CT,123,33
CT,124,25
CT,125,20
CT,126,24
CT,127,28
CT,128,22
CT,129,19
CT,130,29
CT,131,24
CT,132,22
CT,133,25
CT,134,17
CT,135,21
CT,136,12
CT,137,28
CT,138,16
CT,139,28
CT,140,18
CT,141,23
CT,142,25
CT,143,18
CT,144,16
CT,145,18
CT,146,16
CT,147,22
CT,148,22
CT,149,18
CT,150,23
CT,151,20
CT,152,19
CT,153,15
CT,154,13
CT,155,16
CT,156,11
CT,157,17
CT,158,11
CT,159,14
CT,160,12
CT,161,23
CT,162,16
CT,163,18
CT,164,16
CT,165,10
CT,166,19
CT,167,10
CT,168,11
CT,169,13
CT,170,18
CT,171,19
CT,172,11
CT,173,12
CT,174,13
CT,175,13
CT,176,8
CT,177,8
CT,178,14
CT,179,12
CT,180,19
CT,181,9
CT,182,9
CT,183,15
CT,184,13
CT,185,15
CT,186,12
CT,187,7
CT,188,15
CT,189,14
CT,190,8
CT,191,10
CT,192,14
CT,193,9
CT,194,6
CT,195,11
CT,196,12
CT,197,13
CT,198,9
CT,199,9
CT,200,9
CT,201,8
CT,202,10
CT,203,3
CT,204,9
CT,205,10
CT,206,14
CT,207,9
CT,208,3
CT,209,6
CT,210,10
CT,211,14
CT,212,6
CT,213,7
CT,214,11
CT,215,3
CT,216,8
CT,217,9
CT,218,7
CT,219,7
CT,220,10
CT,221,10
CT,222,12
CT,223,11
CT,224,5
CT,225,5
CT,226,5
CT,227,7
CT,228,2
CT,229,8
CT,230,5
CT,231,5
CT,232,7
CT,233,9
CT,234,4
CT,235,7
CT,236,4
CT,237,9
CT,238,8
CT,239,7
CT,240,6
CT,241,6
CT,242,1
CT,243,4
CT,244,6
CT,245,3
CT,246,8
CT,247,7
CT,248,8
CT,249,4
CT,250,6
CT,251,9
CT,252,13
CT,253,3
CT,254,3
CT,255,4929
CR,-255,14
CR,-252,1
CR,-244,1
CR,-233,1
CR,-223,1
CR,-218,1
CR,-215,1
CR,-192,1
CR,-183,1
CR,-180,1
CR,-171,1
CR,-170,1
CR,-165,1
CR,-164,1
CR,-157,1
CR,-152,1
CR,-151,1
CR,-149,1
CR,-147,1
CR,-144,1
CR,-142,1
CR,-139,1
CR,-134,1
CR,-132,1
CR,-130,1
CR,-129,1
CR,-127,2
CR,-126,1
CR,-123,1
CR,-121,1
CR,-117,1
CR,-116,1
CR,-113,1
CR,-107,1
CR,-106,1
CR,-104,1
